ID,Certification,Category,Difficulty,Question Type,Question Text,Scenario Text,Option A,Option B,Option C,Option D,Correct Answer ID,Answer Explanation,Clinical Explanation,References,Status,Is Premium
mq-rbt-freq-022,RBT,A — Data Collection and Graphing,medium,case_study,"On Monday, an RBT observed a client for 30 minutes and counted 9 instances of a target behavior. On Tuesday, the RBT observed the same client for 60 minutes and counted 9 instances. What is the most accurate conclusion?",The raw frequency count was identical both days.,The behavior increased on Tuesday because the session was longer,"The behavior likely occurred less often relative to observation time on Tuesday, so rate should be examined rather than raw counts alone",The data cannot be compared under any circumstances,The RBT should have recorded duration instead of frequency,B,"Because the observation periods differ, comparing raw counts directly is misleading; calculating rate (occurrences per minute) shows the behavior actually occurred less often relative to time on Tuesday.",This is a common reason supervisors ask RBTs to convert frequency data to rate whenever session lengths are inconsistent across days.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-023,RBT,A — Data Collection and Graphing,medium,clinical,Why might a BCBA ask an RBT to convert frequency data to rate before graphing it?,,Because rate is easier to write on a data sheet than frequency,Because graphs cannot display whole numbers,"Because session lengths vary from day to day, and rate accounts for that difference",Because rate eliminates the need for an operational definition,C,"Rate corrects for varying observation times, so trends on the graph reflect true changes in behavior rather than differences in how long each session lasted.",RBTs should let their supervisor know if session length is inconsistent so the team can decide whether rate conversion is needed.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-024,RBT,A — Data Collection and Graphing,medium,application,"An RBT is measuring 'time spent engaging in vocal stereotypy,' a behavior that varies widely in how long each episode lasts. The RBT decides to simply tally each time it starts, ignoring how long it lasts. What is the concern with this approach?",,Frequency cannot be used for vocal behavior under any circumstances,Tallying vocal stereotypy is not permitted for RBTs,The RBT should be measuring latency instead,"A simple frequency count does not capture the varying duration of each episode, which could understate the actual impact of the behavior",D,"Since episodes vary in length, two days with the same count could reflect very different amounts of actual behavior, so duration recording would likely give more clinically useful information.",This illustrates why RBTs must think about whether frequency truly captures what matters about a specific behavior before defaulting to a simple count.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-025,RBT,A — Data Collection and Graphing,medium,application,An RBT collects frequency data on 'independent mands' during a 2-hour session but is called away for 15 minutes to assist another therapist. What should the RBT do regarding the frequency count?,The RBT steps out of the room for 15 minutes during the session.,"Note the gap in observation on the data sheet, since frequency cannot be accurately recorded during a period when the behavior was not observed",Estimate how many mands likely occurred during the gap and add them to the count,Ignore the gap since it was a short period,Stop collecting data for the rest of the session,A,"Because frequency requires continuous observation, any occurrences during an unobserved period cannot be reliably counted, so the gap should be documented rather than estimated or ignored.",Accurately noting gaps in observation helps the supervising BCBA interpret the data correctly rather than assuming full session coverage.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-026,RBT,A — Data Collection and Graphing,medium,application,"When documenting frequency data in session notes, which of the following is most important for an RBT to include alongside the raw count?",,The RBT's personal opinion about why the behavior occurred,The length of the observation period,A diagnosis for the client,A recommendation to change the behavior plan,B,Including the observation period allows anyone reviewing the data later to interpret the count accurately or convert it to rate if needed.,"RBTs document objective information, such as session length and count, and leave clinical interpretation and plan changes to the supervising BCBA.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-027,RBT,A — Data Collection and Graphing,medium,clinical,An RBT notices that a client's frequency of self-injurious behavior has increased sharply over the past three sessions. What is the most appropriate action for the RBT to take?,,Independently increase the intensity of the current intervention,Stop implementing the behavior plan until the trend improves,Report the observed increase in frequency data to the supervising BCBA promptly,Adjust the target behavior definition to make the count appear lower,C,"RBTs collect and communicate data but do not independently make clinical decisions, so reporting the trend to the supervisor is the appropriate scope-respecting action.","Prompt, accurate reporting of concerning trends allows the BCBA to review the plan and make any necessary clinical adjustments.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-028,RBT,A — Data Collection and Graphing,medium,application,"A graph shows a client's daily frequency count of tantrums decreasing from 10 to 2 over three weeks, with session length remaining constant each day. What can be reasonably concluded from this pattern?",,The intervention has been proven to be the sole cause of the decrease,The client no longer requires behavior support,The data collection method must be changed to duration,The frequency of tantrums has decreased over time under consistent observation conditions,D,"Since session length was constant, the downward trend in raw counts reasonably reflects a real decrease in how often tantrums occurred, without overstating causation.","RBTs should describe what the data shows without claiming the intervention definitively caused the change, since that interpretation is a BCBA-level judgment.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-029,RBT,A — Data Collection and Graphing,medium,conceptual,How does frequency recording differ from interval recording?,,Frequency records every occurrence of a behavior; interval recording only notes whether the behavior occurred during set time segments,Frequency and interval recording produce identical data,"Interval recording tracks every occurrence, while frequency samples only part of the session",Frequency is only used in academic settings,A,"Frequency captures a full count of every occurrence, while interval recording divides the session into intervals and records only presence or absence within each, potentially missing exact counts.",An RBT might choose interval recording over frequency for very high-rate behaviors that are difficult to count precisely one at a time.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-030,RBT,A — Data Collection and Graphing,medium,application,"A client engages in hand-raising behavior at a rate that is easy to count, occurring only occasionally throughout a class period. Which measurement procedure is most appropriate?",,Duration recording,Frequency recording,Momentary time sampling,Partial interval recording,B,"Since the behavior is discrete and occurs infrequently enough to count each instance reliably, frequency recording is the most direct and appropriate choice.","Choosing frequency here gives an exact, easily interpretable count rather than an estimate, which is well suited for low- to moderate-rate discrete behaviors.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-031,RBT,A — Data Collection and Graphing,medium,application,An RBT collecting frequency data marks two tally marks for a single instance of hitting because the client hit the same peer twice in rapid succession during what the plan defines as 'one episode.' What is the issue with this recording?,The plan defines an episode of hitting as continuous contact attempts within a 3-second window as a single event.,The RBT should have recorded duration instead,Frequency should never be used for aggressive behavior,"The RBT did not follow the operational definition, which could inflate the frequency count",The RBT correctly followed standard frequency procedures,C,"Following the operational definition exactly is essential; deviating from it, as in counting two tallies for what the plan defines as one episode, inflates the data and reduces its accuracy.",Consistent application of the operational definition across all observers is what keeps frequency data reliable and comparable over time.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-032,RBT,A — Data Collection and Graphing,medium,clinical,Why is it important for all RBTs working with a client to use the same operational definition when collecting frequency data?,,Operational definitions are only needed for duration recording,Frequency data does not require an operational definition,Each RBT may define the behavior differently without affecting the data,Inconsistent definitions across observers reduce the reliability and comparability of the data,D,"If different RBTs count different things as 'the behavior,' the resulting frequency counts cannot be reliably compared across sessions or staff.",This is one reason interobserver agreement checks are periodically conducted on frequency data collection.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-033,RBT,A — Data Collection and Graphing,medium,application,"An RBT's frequency graph shows the number of correct independent responses increasing from 3 to 15 over two weeks, with session length held constant. How should the RBT describe this pattern when reporting to the supervisor?",,Describe the observed increase in the count of correct independent responses across sessions,State that the client has fully mastered the skill and no longer needs instruction,State that the intervention is definitely the cause of the improvement,Recommend discontinuing data collection since progress is evident,A,The RBT's role is to objectively describe what the data shows; broader conclusions about mastery or causation are clinical judgments made by the supervising BCBA.,"Objective, descriptive reporting keeps the RBT within scope while still providing the supervisor with useful information.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-034,RBT,A — Data Collection and Graphing,medium,application,"A BCBA is deciding between frequency and duration recording for a behavior described as 'client leaves the assigned area,' which happens a variable number of times per session and can last anywhere from a few seconds to several minutes. Which additional measure, beyond frequency, would likely give the most complete picture?",,"Latency, to capture how quickly the behavior begins","Duration, to capture how long each instance of leaving the area lasts","Interresponse time, to capture the time between school days","Percentage of trials, since this is a discrete-trial behavior",B,"Since the behavior varies significantly in length, tracking duration alongside frequency provides information that a simple count alone would miss.","RBTs often collect more than one dimension of behavior, such as frequency and duration together, when a single measure would not tell the full story.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-035,RBT,A — Data Collection and Graphing,medium,application,"An RBT is asked to record the frequency of a client's correct responses during a series of discrete trials. During one trial, the client provides a partially correct response. What should the RBT do?","The behavior plan specifies that only fully independent, correct responses count as an occurrence.",Count it as correct because the client attempted a response,Skip recording data for that trial entirely,Refer to the operational definition and only tally the response if it meets the specified criteria for 'correct',Ask the client to repeat the trial until it is correct before recording anything,C,"The operational definition determines what counts as an occurrence, so the RBT should apply that definition consistently rather than making an independent judgment call.","Sticking closely to the plan's criteria, even for borderline responses, keeps the frequency data accurate and consistent across sessions and staff.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-036,RBT,A — Data Collection and Graphing,medium,application,"An RBT's data sheet for frequency recording should, at minimum, include which of the following?",,Only the client's name and today's date,A narrative story about the session with no numerical data,The RBT's personal predictions about future behavior,"The date, session start and end time, the operationally defined behavior, and the tally of occurrences",D,"These elements allow anyone reviewing the sheet later to understand exactly what was measured, when, for how long, and how many times it occurred.",Complete documentation supports accurate rate calculations and trend analysis by the supervising BCBA.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-037,RBT,A — Data Collection and Graphing,medium,conceptual,A client's frequency of asking for help is being tracked across settings: 20 minutes at home and 50 minutes at the clinic. Why might comparing the raw frequency counts between these two settings be misleading?,,The unequal observation times mean the counts are not directly comparable without converting to rate,Frequency data cannot be collected in more than one setting,Only duration data can be compared across settings,The behavior definition automatically changes between settings,A,"Without adjusting for the different lengths of time observed in each setting, comparing raw counts could create a misleading impression of where the behavior occurs more often.",Converting each count to a rate (per minute) would allow a fairer comparison between the two settings.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-038,RBT,A — Data Collection and Graphing,medium,clinical,A BCBA reviews frequency data and calculates rate for two sessions of different lengths before comparing them. What clinical benefit does this provide over comparing raw frequency counts alone?,,It removes the need for an operational definition,"It controls for differences in observation time, allowing a more accurate comparison of how often the behavior truly occurred",It converts frequency data into duration data,It automatically identifies the function of the behavior,B,"Calculating rate standardizes the data for time, which is necessary whenever sessions are not the same length, so trends reflect actual behavior change rather than session-length differences.",This is a common step RBTs may be asked to help with under supervision when preparing data summaries.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-039,RBT,A — Data Collection and Graphing,medium,application,"An RBT counts a client's hand flapping using frequency, tallying each time the hands move up and down, even though the behavior is continuous and repetitive throughout most of the session. What is the concern with this method?",,Frequency should never be measured with a tally counter,Hand flapping cannot be measured under any circumstances,"Continuous, repetitive motor movements are difficult to count discretely, and frequency may not accurately represent the behavior",The RBT should be using latency to measure hand flapping,C,"Repetitive motor behaviors without a clear beginning and end for each 'unit' are difficult to count reliably, so a different measure like duration is often more appropriate.",This is a common consideration when a BCBA selects the measurement procedure written into the behavior plan.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-040,RBT,A — Data Collection and Graphing,medium,application,"Which factor is most important when a BCBA decides that frequency, rather than duration, is the appropriate measurement for a target behavior?",,Whether the client prefers frequency data,Whether the session is longer than 30 minutes,Whether the behavior occurs in a clinic versus a home setting,"Whether the behavior has a consistent, discrete duration each time it occurs",D,"When each occurrence takes roughly the same amount of time, a simple count meaningfully represents the behavior, making frequency the appropriate choice.","If duration varies widely between occurrences, a count alone may not capture the true impact of the behavior on the client's day.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-041,RBT,A — Data Collection and Graphing,medium,application,An RBT collected frequency data across a 40-minute session but the session was interrupted for 10 minutes due to a fire drill. How should this be documented?,"A fire drill occurred partway through the session, temporarily halting data collection.","Note the interruption and the actual observed time, rather than reporting the count as if a full 40 minutes were observed",Report the count as if it occurred across the full 40 minutes without noting the interruption,Discard the entire session's data because of the interruption,Estimate additional occurrences that might have happened during the drill,A,Accurately noting the interruption preserves the integrity of the data and prevents a misleading rate calculation later.,This kind of careful documentation helps the BCBA correctly interpret the data and account for any gaps.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-042,RBT,A — Data Collection and Graphing,medium,application,"A frequency graph shows high day-to-day variability, with counts ranging from 2 to 14 occurrences with no clear upward or downward trend over four weeks. How should an RBT describe this pattern to the supervisor?",,State that the intervention has failed and should be discontinued,"Describe the data as variable with no clear trend, without speculating on the cause",State that the client is intentionally being inconsistent,Average the numbers and report only the average without noting the variability,B,"Objectively describing the pattern, including its variability, gives the supervisor accurate information without the RBT overstepping into clinical interpretation.","Recognizing and reporting variability, rather than smoothing it over, helps the BCBA decide whether the plan needs adjustment.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-043,RBT,A — Data Collection and Graphing,medium,conceptual,How does frequency recording differ from permanent product recording when both are used to count how many worksheet problems a client completes correctly?,,Permanent product recording requires the RBT to be present continuously during the task,Frequency and permanent product recording are identical procedures,"Frequency requires the RBT to observe and tally in real time, while permanent product recording counts the completed work after the fact",Permanent product recording cannot be used to count correct responses,C,"Frequency recording happens in real time as the RBT observes behavior directly, whereas permanent product recording involves reviewing a tangible outcome, such as a completed worksheet, after the session.","For some tasks, permanent product recording can be more practical than live frequency counting, especially when a tangible output is available.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-044,RBT,A — Data Collection and Graphing,medium,clinical,A client's target behavior is 'independently requesting a preferred item using a full sentence.' Why would frequency be an appropriate measurement choice for this behavior?,,Because requesting always takes the same number of minutes,Because frequency automatically accounts for correctness of grammar,Because this behavior cannot be measured with any other procedure,"Because each request is a discrete, identifiable event with a clear beginning and end",D,"Each request is a distinct, countable event, making it a good match for frequency recording, which counts how many times a discrete behavior occurs.",This kind of frequency data helps the team track how often the client is using the target communication skill across sessions.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-045,RBT,A — Data Collection and Graphing,hard,application,An RBT observed a client for 25 minutes and recorded 15 occurrences of a target behavior. What is the rate of the behavior per minute?,,0.6 occurrences per minute,1.5 occurrences per minute,6 occurrences per minute,375 occurrences per minute,A,Rate is calculated by dividing the frequency count by the observation time: 15 occurrences divided by 25 minutes equals 0.6 occurrences per minute.,Converting frequency to rate like this allows the team to compare this session to others of different lengths.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-046,RBT,A — Data Collection and Graphing,hard,application,"A client was observed for 45 minutes on Monday with 18 occurrences of a behavior, and for 30 minutes on Wednesday with 15 occurrences. Which day had the higher rate of behavior?",,"Monday, because it had more total occurrences","Wednesday, since its rate (0.5 per minute) is higher than Monday's rate (0.4 per minute)",Both days had the same rate,The rate cannot be determined from this information,B,"Monday's rate is 18 divided by 45, which equals 0.4 per minute; Wednesday's rate is 15 divided by 30, which equals 0.5 per minute, so Wednesday has the higher rate despite having fewer total occurrences.","This example shows why comparing raw frequency counts alone, without considering session length, can lead to an incorrect conclusion about which day had 'more' behavior.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-047,RBT,A — Data Collection and Graphing,hard,application,"Over a 5-day school week, an RBT records the following frequency counts of a target behavior, each during a 60-minute session: 4, 6, 5, 9, 6. What is the average rate per minute across the week?",,6 occurrences per minute,1 occurrence per minute,0.1 occurrences per minute,30 occurrences per minute,C,"The total occurrences (4+6+5+9+6=30) divided by the total minutes observed (5 sessions × 60 minutes = 300 minutes) equals 30/300, or 0.1 occurrences per minute.",Averaging rate across multiple equal-length sessions like this gives a stable summary statistic for reporting weekly trends to the supervisor.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-048,RBT,A — Data Collection and Graphing,hard,application,A cumulative frequency graph for a target behavior shows a steadily increasing line with a consistently steep slope over three weeks. What does the steepness of the slope represent?,,The total number of sessions conducted,The exact time of day the behavior occurred,A decrease in behavior over time,A relatively high and consistent rate of occurrence during that period,D,"On a cumulative graph, the steeper the slope, the more occurrences are being added per unit of time, indicating a higher rate of behavior during that period.","A flattening slope on a cumulative graph would instead suggest the behavior is occurring less often, which is a pattern RBTs may notice and report.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-049,RBT,A — Data Collection and Graphing,hard,conceptual,"A BCBA is choosing between frequency and interresponse time (IRT) to better understand a self-injurious behavior that occurs at a high rate throughout the day. If the clinical question is 'how much time typically passes between each instance,' which measure directly answers that question, and why is frequency alone insufficient?",,"IRT directly measures the time between successive responses, while frequency only provides a total count without information about spacing between occurrences","Frequency directly measures time between responses, making IRT unnecessary",Both measures answer the same clinical question equally well,Neither measure can answer this clinical question,A,"Frequency tells you how many times something happened, but not how the occurrences were spaced out, while IRT specifically captures the time gaps between consecutive responses.","A BCBA might request IRT data specifically to evaluate patterns like whether responses cluster together or are evenly spaced, which frequency alone cannot reveal.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-050,RBT,A — Data Collection and Graphing,hard,case_study,"An RBT collects frequency data across two settings for the same behavior: 30 minutes at school with 12 occurrences, and 45 minutes at home with 12 occurrences. A caregiver states the behavior is 'exactly the same' in both places because the counts match. Why is this conclusion inaccurate?",The caregiver is comparing the two raw counts directly.,The counts prove the behavior is identical in both settings,"The rates differ (0.4 per minute at school versus 0.27 per minute at home), showing the behavior actually occurred less often relative to time at home",Frequency data cannot be collected in a home setting,The RBT should have used duration instead of frequency in both settings,B,"Because the observation periods differ, equal raw counts do not mean equal rates; calculating rate reveals the behavior actually occurred less frequently relative to time at home.","This is a common misunderstanding that RBTs may need to gently clarify, referring the caregiver's clinical question to the supervising BCBA if needed.",BACB — RBT Test Content Outline (3rd Edition),published,YES
